start	end	text
2403156	2417749	Это действительно так. Но на сегодняшний день все суды в большинстве своем по всем регионам, а я занимаюсь данной проблематикой из позиции Госдумы, из Минстроя, именно региональным образом, суды совершают...
2417729	2437360	спокойно применяют по аналогии все право, которое регулирует установление тарифов и институт общего пользования, вернее, институт общей долевой собственности на общее имущество жилых комплексов, объединенных общной единой территорией и целостной цепью инженерных коммуникаций.
2437420	2443129	Это основные критерии, по которым суды относят на сегодняшний день любые СНТ,
2443328	2450453	к поселке, который в ИЖС, он их относит к малоэтажным жилым компаниям.
2451547	2455853	У нас до сих пор этого понятия нет, потому что законопроект во второй чтении никак зайти не может.
2455893	2457174	Надеемся, что в этом году мы его примем.
2457195	2462822	Но вот сейчас любое действие или противодействие будет вызывать обратную реакцию.
2462902	2467268	И он, как бы мы не оспорили тариф, тариф мы оспорим в моменте.
2467328	2469551	Я вообще в этом смысле даже не переживаю.
2469571	2473396	То есть сейчас мы пишем возражения о том, что это необоснованно.
2473416	2478583	И если это будет коллективное обращение, а еще больше от нескольких коттеджных поселков, как я поняла,
2478563	2483691	то в данном случае это дает нам большой зеленый свет на судебное урегулирование в части тарифов.
2483791	2486175	Но мы не решим проблему в корне.
2486195	2499475	Здесь нужно впоследствии либо параллельно ставить вопрос об оспаривании права частной собственности на общее имущество, которое создавалось для того, чтобы вы его эксплуатировали в целях использования своего частного домовладения.
2499455	2502198	И по этому поводу практики уже тьма.
2502258	2508266	То, что у нас там весомый застройщик, то, что он имеет определенные позиции во власти и так далее, это везде.
2508286	2521001	У нас есть целое течение, в России сейчас называется коттеджное рабство, есть целый чат, и большие у них идут целые программы политические, где вот в каждом регионе это миллионы таких проблем.
2521021	2522743	И поверьте, они решаются.
2522783	2525226	И с такими весомыми людьми.
2525206	2534021	Здесь в данном случае я согласна с моим коллегой, по-моему, Анна, которая говорила о том, что здесь нужно придать этому массовую огласку.
2534061	2536125	Однозначно, это первое.
2536165	2539531	И второе, это нужно подключить именно уровень федеральной власти.
2539591	2550690	Мы видим, к сожалению, что на местах ни прокуратура, ни Роспотребнадзор, как бы коллеги сейчас, выступая передо мной, не возлагали на них большие надежды, но не решают они эти проблемы.
2550670	2567735	Как только они выходят на проверку, они сразу говорят частная собственность на общее имущество, они сразу говорят о том, что мы не можем регулировать, госстройнадзор, ростстройнадзор не может туда вникать, госжилконтроль не может туда вникать, поскольку это не подчиняется и так далее.
2567755	2572662	Поэтому нам нужно сейчас через депутатское реагирование, через Минструальность,
2572642	2581393	реагирование через правительство Московской области, выйти на определенные действия сверху, отдать этому огласку и дальше в суде разрешать вопрос.
2581433	2582835	Моя стратегия такая.
2582855	2587241	На сегодняшний день мы вот внедряемся, пункт такой-то, пункт такой-то.
2587261	2593289	Мы сейчас не будем нагружать людей с точки зрения того, как мы будем толковать нормы гражданского и жилищного законодательства.
2593349	2594250	Ну, зачем это людям?
2594290	2595872	Я стратегически говорю.
2595892	2601940	Нам нужно сегодня сделать все для того, чтобы начать работу по оспариванию тарифа и его повышения.
2603000	2613057	Вне судебный или судебный порядок, это будет видно по его поведению и по реакции на то, как мы сейчас напишем коллективные отказы от этого публичного договора и так далее.
2613077	2620890	Второе, мы готовим себя к оспариванию, я вижу так, оспариванию права собственности на все имущество общего пользования.
2620870	2638659	Потому что когда люди, вот сейчас я уже читаю, что когда люди купили земельные участки, а потом строили свои дома, все имущество общего пользования, ну, наверное, за редким исключением, было построено на их деньги, которые они вносили в качестве целевых взносов в ранее созданные ТСН.
2638679	2643587	К сожалению, ТСН ликвидировано, ну, не договорились люди, не устроила их такая форма управления.
2643567	2652879	Но, тем не менее, оплата осталась, и факт того, что они сами создавали себе то, что сейчас находится незаконно в частных руках, он есть, он налицо.
2652899	2667297	Поэтому аналогия с точки зрения, опять же, услышала у коллег с Бера, что вот установленный порядок, утвержденный порядок по установлению тарифов на территорию Московской области,
2668441	2669703	Здесь будет нам в помощь?
2669744	2671407	Не будет.
2671427	2675655	Этот закон не регулирует наши отношения в части малоэтажной живой застройки.
2675675	2677078	Пока не регулирует.
2677098	2679442	Поэтому здесь тариф должен быть экономически обоснован.
2679503	2682368	Это раз, если уж мы избрали эту компанию управляющую.
2682388	2684973	Мы, правда, ее не избрали, она нам навязана.
2684993	2686416	Но тем не менее.
2686396	2691581	Пока мы не разберемся с собственностью на общее имущество, мы не решим проблему людей.
2691601	2694964	Мы сейчас ее локально решим, не дадим им поднять тариф.
2695004	2697846	Ровно через год у них вернется та же самая история.
2697866	2698367	Все.
2698387	2707815	Нам суд не установит, скажем так, императивные нормы о том, что тариф в принципе подниматься не может.
2707855	2711659	Нам суд не определит методику изменения этого тарифа.
2711679	2715482	Но как только мы выиграем эти суды, он начнет дальше им выкручивать руки.
2715502	2716403	И это очевидно.
2716383	2718707	Спасибо.
2718807	2720811	Спасибо большое, Светлана.
2720971	2727704	Есть еще у кого что-то по существу добавить?
2727864	2729146	Сергей, можно, да?
2729207	2733655	Вы меня прервали, сказали, что я не совсем туда полез.
2733675	2735939	По существу вопросов, дискуссии с коллегами.
2736019	2738023	Да, по существу вопросов.
2738103	2739285	Но я являюсь...
2740210	2744017	Депутатам Государственной Думы по земельным вопросам.
2744498	2757240	Поэтому я как-то высказал свое мнение, что вопросы собственности, земельные и имущественные отношения регулируются как раз Государственной Думой.
2757220	2759703	Очень все красиво рассказали.
2759743	2761265	Все хорошо, все отлично.
2761706	2764289	Я не сомневаюсь, что все так хорошо.
2764389	2778147	Но, тем не менее, написав куда-то чего-то в Роспотребнадзор и в другие организации, все равно все это дело как минимум или спустится на тормозах, или придет в Государственную Думу.
2778507	2781691	К нам не приходят такие вопросы, как обычно.
2781732	2785236	Поэтому я еще раз вам рекомендую.
2785655	2798331	Еще раз не хочу сказать, все правы, все хорошо, все нормально, но тем не менее я считаю, что нужно непосредственно обратиться в Государственную Думу, в комитет.
2799678	2806486	по земельным вопросам, который нам разъяснит, где что, чего и как.
2806526	2819863	Ну, непосредственно я, может быть, не поступит это письмо, может быть, не мне, но тем не менее, я думаю, что я это письмо посмотрю, чем помочь.
2820080	2825731	Но тем не менее, в любом случае, все остальное, то, что сказали девушки-юристы, нужно будет делать.
2825831	2830319	И претензию подавать, и в суд подавать, и в Роспотребнобзор.
2830339	2839617	Это не заменяет того, что мы просто сейчас подадим в главенствующий орган, в Государственную Думу, который принимал этот закон, и что-то изменится.
2839677	2841480	Все нужно подавать поэтапно.
2841950	2844495	Поэтому вот какое-то мнение такое у меня.
2844835	2853952	Еще, если позволите, да, поэтапно раз, это должно быть иерархично, то есть я не говорю не обращаться в прокуратуру и в Роспотребнадзор.
2853992	2865493	Это нам в последующем даст определенную фактуру, когда мы придем в суды и будем говорить, что ни один способ защиты права не привел к нам к восстановлению этого нарушенного права.
2865743	2868229	Поэтому это нужно и в том числе для фактуры.
2868289	2879235	Что касаемо Государственной Думы, это, скорее всего, не комитет по земельным отношениям.
2879356	2882503	Это, скорее всего, комитет.
2882753	2885317	Светлана скажет, потом вам дадим слово.
2885337	2886239	Благодарю вас.
2886699	2898518	С точки зрения Государственной Думы я говорю о том, что рабочая группа по проблемам малоэтажного жилищного строительства создана на базе комитета по строительству и ЖКХ, господин Пахомов.
2898498	2905853	Поэтому нужно будет написать обращение к Пахомову и господину Якубовскому, который занимается малоэтажными жилыми комплексами в Государственной Думе.
2905893	2908338	И я не говорила, что это только стрельнет.
2908379	2910984	Обжаловать нужно все, жаловаться нужно везде.
2911044	2916034	Я хотела к тому сказать, что эта проблематика сейчас обсуждается на всех уровнях власти.
2916055	2919662	И федеральная власть в данном случае тоже вовлечена в эту проблематику.
2919642	2924048	И вот как раз и решение проблемы – это именно в корне.
2924068	2928554	Давайте разберемся с институтом собственности на общее имущество.
2928655	2936946	Не может находиться общее имущество, которое создавалось для эксплуатации единого жилого массива, находиться в частной собственности.
2937006	2941793	Плюс к этому у нас в частной собственности сейчас находятся стратегически важные объекты.
2941893	2948923	Это объекты уличной дорожной сети, которые не относятся, к сожалению, к таковому юридически, а де-факто таковыми являются.
2948903	2951207	И объекты инженерных коммуникаций.
2951267	2954974	Это стратегически важные объекты, на которые частная собственность запрещена.
2954994	2957579	Так вот, давайте мы с этой стороны будем заходить.
2957739	2963950	Я при этом не исключаю, что параллельно на этом этапе, сейчас на самом актуальном, это разобраться с тарифами.
2963970	2964992	Спасибо.
2965012	2966014	Спасибо, Светлана.
2966074	2969460	Да, Сергей, можем дать вам слово, если вы хотите еще что-то добавить.
2970790	2979342	Я совершенно согласен с дамой, которая сейчас только что говорила о том, что нужно сделать.
2979402	2981325	Именно это и нужно сделать.
2981345	2987414	И вот сейчас мы вышли как раз на тот консенсус, который нужно именно сделать.
2987474	2996427	Но тем не менее, сделав это, нужно обратиться, все-таки мне кажется, что в Комитет Государственной Думы обратиться к
2996407	3002156	которая должна посмотреть это дело и, надеюсь, принять.
3002196	3004800	А я попробую как-то поучаствовать в этом.
3005321	3010149	Хотя не обещаю, потому что у нас объем документов очень большой.
3010169	3012533	Спасибо.
3012553	3015377	Анна, по третьему вопросу осталось что-то добавить?
3015627	3016849	Или вообще в целом?
3016869	3018831	Потому что мы очень много уже обсудили, в принципе.
3018851	3026241	Нет, мы с вами очень много чего обсудили, как будто бывали на круглом столе по данным вопросам.
3026281	3028985	Поэтому давайте по существу.
3029105	3032269	Сейчас что нужно сделать в первую очередь?
3032289	3033331	Давайте подводим итоги.
3033371	3034152	Первое.
3034192	3041061	Для тех собственников, у которых закончился договор или подходит к завершению срок,
3041193	3051540	В первую очередь нужно направлять претензию, точнее я бы это назвала возражение на публичный договор, который был опубликован.
3051706	3054390	со следующими основаниями.
3054490	3055993	Первое.
3056113	3069374	Мы в своем таком неком отказе собственников от подписания договора указываем о том, что мы не согласны с повышением тарифов, которые являются в данном случае незаконными.
3069394	3079350	Потом мы указываем на то, что одностороннее повышение стоимости услуг обслуживающей организации недопустимо в соответствии с договором пунктом таким-то.
3079668	3085635	Также, что собственники вправе оплачивать фактически оказанные услуги.
3085655	3087638	У нас же все-таки договор услуг.
3087658	3091182	В связи с этим будет вопрос, скорее всего, последствия.
3093025	3097430	Мы не будем платить, а нас отключат от коммуникации.
3097470	3108544	В связи с этим я сейчас считаю, что в своих возражениях, отказе... Сергей, прошу прощения, не перебивайте, вас никто не перебивал.
3109773	3112075	Я прошу прощения.
3112095	3121145	В связи с этим я хочу акцентировать внимание о том, что по договору услуг мы должны оплачивать фактически оказанные нам услуги.
3121165	3132858	В прошлом договоре, который действует у многих на нынешний момент, должно быть приложение с большой долей вероятности, с некой классификацией стоимости каждых услуг.
3132878	3137923	Мы же не знаем, какое количество услуг нам оказывается ежемесячно сейчас.
3137903	3148342	Поэтому в любом случае каждый из собственников понимает и знает примерную сумму, среднюю сумму по году оплаты взносов, точнее оплаты услуг.
3148362	3154975	Вот нужно продолжать в случае, даже если договор истек, нужно продолжать платить эту сумму.
3155015	3157920	И причем в этом случае я бы указывала номер...
3157900	3168850	и дату прошлого договора, который, грубо говоря, будет неким образом автоматически пролонгирован, что в нем, кстати, не предусмотрено, но вариантов пока другого нет.
3169191	3172720	Это для того, чтобы добросовестной стороны подтвердить,
3172852	3188846	В случае, если управляющая компания как раз-таки будет пытаться отключать от коммуникаций и настаивать на том, чтобы сторона, уязвимая в данном случае, подписала те условия, предлагаемые и опубликованные сейчас в публичном договоре.
3188886	3195712	То есть каким образом может звучать это, по моему мнению, я вот сейчас как раз для себя набросала.
3195772	3202858	То есть собственники объектов недвижимости не отказываются от получения и оплаты услуг.
3202838	3202990	Продолжение следует...
3222717	3228526	то достижение соглашения оплата будет производиться за фактически оказанные услуги.
3228606	3243510	Также прекращение обслуживания будет, это обязательно нужно указать, расценено как незаконное и повлечет в защиту прав судебном уже порядке, то, о чем мы с вами вот сейчас дискутируем, говорим, что да, действительно.
3243490	3260009	Сейчас нам нужно направить в первую очередь отказ от акцепта публичной оферты, посмотреть ответ стороны, причем это я бы акцентировала внимание на тех собственников, у которых сейчас заканчивается договор.
3260330	3269380	Очень часто, прошу прощения, вы сказали, что именно у тех, у кого заканчивается, а у кого не заканчивается, они не делают этого?
3269697	3281282	Мы это делаем, но это уже вот то, о чем сейчас мы все дискутируем, что нам нужно в этом случае уже глобально и коллективно обращаться, оспаривать, да, вот это публичное соглашение.
3281342	3289900	Но тем, кто еще на действующем договоре, мы же уже в самом начале СБР право вот заметили, выбрали, ну, то есть у нас...
3289880	3310072	Тут мнение сошлось на тот счет, что договор, уже подписанный договор услуг, он не предусматривает момента, связанного с односторонним отказом от его исполнения или, например, о расторжении в одностороннем порядке со стороны именно организации, юридического лица.
3310092	3313137	В связи с этим договоры те действующие.
3313117	3334926	И оплата за услуги на данный момент по действующим договорам, она должна продолжать производиться, а иначе в данном случае, если вы перестаете платить, да, по тем, например, тарифам, которые ранее были установлены, также Светлана четко пояснила, что вот за тарифы уж точно мы не переживаем, они будут оспорены в силу закона и договора.
3334946	3339192	Тут действительно мы не должны акцентировать такое прям глобальное…
3339357	3350484	Но мы должны обратиться сейчас только к той группе активных, надеюсь, граждан, у которых заканчивается договор.
3350544	3355476	И вот там мы как раз-таки должны написать отказ, направить все...
3355456	3358621	Единолично, не коллективно.
3358661	3365512	Коллективно идут ровно те, кто не согласны с тарифами, у кого действующие договоры, и это будет уже коллективный.
3365733	3376430	А вот те граждане, которые сейчас стоят на пороге, получается, перезаключения, переподписания, то вот тут мы должны работать сейчас именно с ними.
3376470	3381919	То есть я считаю, что это должен образован быть какой-то отдельный чат, группа и...
3382152	3390305	Все, что касается сейчас глобального плана Светланы, стратегии, с ней тоже согласна, потому что я тоже являюсь политологом.
3390325	3392388	Анна, одну секундочку, пожалуйста, это очень важно.
3392448	3396575	У нас нет обязанности перезаключать договор.
3396615	3399840	У нас есть договор, который пролонгируется.
3400867	3401528	Пролонгируется.
3401568	3407134	Мы же с вами, вот я только что говорю, он как бы пролонгируется, но получается условия-то уже у всех разные.
3407174	3411458	У нас же есть договоры, которые действующие, там талитная сетка одна.
3411578	3413781	Есть условия новые публичные.
3413821	3415743	Я сравнила публичный договор.
3415803	3421329	Услуги, которые там оказывались и услуги, которые оказывались по другим договорам, они чуть-чуть разнятся.
3421349	3424292	Тут тоже нужно на этот момент обращать внимание.
3424525	3427450	То есть количество услуг, как я понимаю, увеличилось.
3427550	3431758	Но ценообразование в приложениях не указано.
3431818	3441615	Есть только список услуг, количество планируемое оказание их в неделю, в месяц, в период, там, лет и зима.
3441635	3445842	И при этом, естественно, я бы еще рекомендовала вам...
3446260	3455314	тем, кто не согласен с публичным договором, писать сейчас, просить представить управляющую компанию и официально публиковать тарифную сетку.
3455334	3464909	То есть из чего складывается тарификация, сколько стоят конкретные услуги для того, чтобы определить как раз экономическую целесообразность повышения тарифа.
3464929	3467273	Ну и впоследствии вам это пригодится, естественно, в суде.
3469092	3470075	Большое спасибо.
3470095	3472623	Пожалуйста, вопросы.
3472683	3478801	Всех попрошу, вопросы посмотрите, соседи, кто сможет на что ответить, тоже это будет потом важно.
3478841	3479423	Да, Светлана.
3480905	3484789	Да, я как раз хотела, я так просмотрела сейчас чат.
3484829	3491396	Значит, у людей есть вопрос, платить ли сейчас, и если платить, то как?
3491456	3499304	Анна сказала, что по фактическим затратам я предлагаю платить по тому тарифу, который был ранее утвержден.
3499344	3505410	То есть мы не берем тариф, который был представлен сейчас в оферте, а прям вручную ставим тот тариф, который...
3506470	3536477	Для того, чтобы показывать нашу добросовестность, наше намерение получать эти услуги и оплачивать их, для того, чтобы действительно мы не попали в коллапс, когда нас замкнут и, скажем, отсекут от этих услуг.
3536457	3538681	о том, что он там заканчивается.
3538701	3549080	Поэтому давайте мы будем считать, что эти договоры продлятся, если обслуживающая организация не напишет нам иного, то есть не напишет, что мы с вами договор расторгаем.
3549261	3551665	Публикуя публичный договор, я...
3552421	3564419	Я полагаю, что собственник имел намерение включить в качестве контрагентов всех жильцов, независимо от того, действующий договор, недействующий у них договор, истекает у него срок или нет.
3564459	3576117	Поэтому отказ от данной оферты должен быть составлен максимально от всех, если это возможно технически, просто не всегда есть определенная полная коммуникация.
3576518	3581773	в части, ну, вот именно совместного, да, какого-то возражения.
3581874	3588132	Что касаемо тарифа, и, да, действительно, может возникнуть в последующем у нас, к нам требуются
3588787	3618608	Спасибо, Светлана.
3618588	3645169	совершать действия по отказу от оферты, требовать, помимо этого, действительно, расчет тарифа с экономическим обоснованием, ну и предпринимать все шаги по обжалованию действий собственника общего имущества и обслуживающей организации как основными, скажем так, лицами, которые нарушают наши жилищные права.
3647596	3650023	а право на благоприятную среду проживания.
3650043	3655979	Вот такая у меня мысль.
3655999	3657182	Светлана, спасибо большое.
3657262	3659007	Сбер хочет что-то нам добавить.
3661973	3669064	Да, по поводу пролонгации договоров, поскольку я тут вижу в чате, очень многие пишут, что у них уже истек договор.
3669104	3678058	Вот я изучила, мы изучили 5 договоров, как минимум, и во всех них написано было в пункте 7.3.
3678038	3685349	что он автоматически пролонгируется, если за 30 дней до окончания срока не поступило соответствующее уведомление.
3685409	3690898	Уведомление такое никому, насколько я понимаю и видела в чате, не поступало.
3690938	3694564	Соответственно, тарифы просто пролонгируются.
3694644	3700553	И я согласна со Светланой, действительно нужно оплачивать по старым тарифам.
3700533	3708072	Но нужно отметить, что все-таки я считаю, что нужно решать вопрос здесь и сейчас.
3708533	3712804	Обращение про работу в год в Совете Федерации.
3713915	3719282	Я прекрасно понимаю, насколько долго принимаются законопроекты и законы.
3719322	3725549	И, соответственно, в 2021 году Конституционный суд сказал решить этот вопрос.
3725589	3729294	Однако этот вопрос на 26-й год до сих пор не решен.
3729314	3731557	И когда он будет решен, непонятно.
3731577	3734100	Поэтому мы хотим...
3737135	3753051	с собственником всех этих земель, поскольку он действительно, я думаю, что умный человек, и он понимает, как нужно вести переговоры, и что столько людей взбунтуется против него,
3753031	3774516	И, соответственно, мы как компания с огромным ресурсом тоже можем обеспечить, и неважно, кто он собственник, мы со своим ресурсом готовы обеспечить вот эту поддержку жителям, скооперироваться и все вместе, в том числе и, возможно, с привлечением жителей.
3774496	3778119	СМИ, поскольку это очень актуальная тема.
3779601	3791572	Я думаю, что только таким образом мы сможем победить этого собственника за такое самоуправство, если можно так сказать.
3791592	3792513	Хорошо, спасибо.
3792654	3794115	Есть еще по существу?
3794175	3799880	У вас у всех списки вопросов были, и люди у нас пишут, соседи, вопросы в чат.
3799900	3801482	Кого-то что-то есть добавить?
3812178	3820774	Есть в чате вопрос, единым ли документом должен быть отказ от оферты, претензии и требования о расчете.
3822177	3832937	Я бы все-таки, чтобы не смешивать юридическую доктрину, отказ от оферты написала без каких-либо требований в части документа.
3832917	3846139	обоснование этого тарифа, поскольку в данном случае мы так или иначе выразим свое желание разобраться в этом и дадим возможность двоякого толкования нашего отказа.
3846239	3856416	Поэтому прям четко один отказ, а потом уже претензия с требованием, на каком основании вы планировали, планируете или еще в будущем будете планировать увеличение тарифа.
3856436	3859701	Должны быть два разных документа, мое мнение.
3860778	3872936	Я бы сформулировала это так, коллеги, именно первое возражение против подписания с четким обоснованием своих претензий.
3872996	3883191	А что касается досудебной работы, претензионного порядка, он будет уже после того, когда на отказы люди начнут получать ответы.
3883492	3901816	и в совокупности всех обстоятельств, связанных с поведением противной стороны, можно будет его разработать, выработать тактику и стратегию действий, даже связанную, естественно, с глобальным моментом, с написанием правоохранительного органа, написанием Государственной Думы.
3901936	3905601	Это большая машина, которую нужно будет запустить, но это...
3905581	3921750	Немножко сейчас преждевременно нужно частные случаи разобрать и поработать именно с теми людьми, которые сейчас даже говорят, что у нас в 2025 году закончился, мы платим, платим правильно по старым тарифам, указанным в договоре.
3921730	3924155	Все правильно делайте.
3924216	3932655	Отключить от коммуникации вас как бы могут, но не будут, поскольку тогда массовость это дело предастся, и они это понимают.
3932715	3939891	Но в случае, если все-таки инициативная группа уже у вас имеется, тех, кого понуждают сейчас перезаключить договор,
3939871	3945580	то, конечно, нужно первым делом совместно с претензионной работой уже предавать дело Огласке.
3945600	3956277	Вы можете скептически к этому относиться, но 90% моих дел, преданных Огласке, берутся на контроль официально на следующее утро уже, как у Бастрыкина, он любит.
3956257	3966294	Александр Иванович брать дела на контроль, а также в тех органах, в тех структурах, которые могут каким-либо образом повлиять, провести проверку.
3966314	3972405	В данном случае это органы прокуратуры именно в вашем Ступинском районе.
3972485	3973667	Спасибо, Анна, большое.
3973707	3977033	Попрошу еще, пожалуйста, есть у нас Узбера, да.
3978312	3986785	Да, тут просто неоднократно уже задавали вопрос, что же делать, если будут препятствовать к проезду на земельный участок.
3987005	3995258	У вас есть прецедентное судебное решение по вашему поселку, где суд точно сказал, что...
3995238	4012977	Преграждать доступ собственник не может к земельному участку, поэтому, соответственно, вы получите ровно такое же судебное решение, можете вызывать в этом случае, соответственно, полицию, которая будет фиксировать запрет на въезд к вашему земельному участку.
4015218	4027373	Был претендент с одним собственником, который как раз был во взаимоотношениях подобных с собственником земель, и суд вынес решение в его пользу, и все равно его не пускали.
4027453	4038967	И это, я так понимаю, то, о чем говорит Анна, что если мы готовы идти к каким-то результатам, мы должны быть готовы к тому, что у нас будут вот эти вот неприятности, пока мы не дойдем до конца.
4038987	4039808	Я правильно понимаю?
4040952	4047923	Да, именно так. Но тут нужно понимать, что мы к этим опасностям готовы.
4048043	4053852	Мы, как СБЕР, можем организовать, соответственно, контрнаступление.
4054954	4055875	Это как?
4055895	4057037	Что значит контрнаступление?
4057057	4057898	Вот мы приехали...
4058165	4061469	10 человек, и стоим около шлагбаума, нас не пускают.
4061509	4068998	Мы звоним вам и... Ну, у нас есть определенные ресурсы, которые могут нам помочь, как и... Это бесполезно.
4069018	4071441	Как и Государственная Дума, как и привлечение.
4071561	4075766	Это бесполезно, коллеги, не вводите людей в заблуждение, пожалуйста.
4075867	4077348	Абсолютно согласна.
4077529	4082555	Вот с этими как раз гражданами, с ЧОПами, это бесполезно.
4082595	4084837	Трейдеры, запомните это.
4084857	4086940	Они действуют ровно так. Изучите всю...
4092573	4095626	В отделы полиции сидят, спят там.
4095666	4097393	Их закрывают, проводят проверки.
4097433	4101932	Им за это платят деньги вот эта компания Юрлицо, понимаете?
4101972	4102836	Там ЧОП левый.
4103660	4107724	Здесь я совершенно согласна с Анной.
4107824	4131827	Дело в том, что у меня в практике была история, также имелся прецедент, когда был удовлетворен иск одному из собственников, и когда возникали прецеденты по отношению к другим собственникам, даже суды, впоследствии рассматривая иски о незаконности действий собственника дорог, сказал, что это неприменимое решение, потому что оно носит
4131807	4146947	Вопрос в том, что все выступления сегодня говорят о мощнейшем безобразии.
4146927	4153241	С кадастровыми номерами указали, какие земельные участки, на которых дороги находятся, что делает собственник.
4153301	4159775	Он перемежевывает земельный участок, меняет его кадастровый номер, и решение становится неисполнимым.
4159795	4160516	Все.
4160536	4163603	То есть здесь мы должны с вами понимать, что...
4163583	4168176	Механизмов вот так, чтобы в моменте что-то решить, не так много.
4168196	4178605	И если мы вызовем полицию, полиция приезжает, он показывает документы на собственность в отношении дороги, и полиция говорит, ну а что, мы не можем ничего сделать, идите судитесь.
4178585	4187115	конечно, придется решать локально, через различные, если вот прям, как вы говорите, Елена, что вы приезжаете, 10 машин стоит, и вас не запускают.
4187155	4199349	Здесь это горячие линии, здесь это полиция, здесь это МВД, никакая Государственная Дума здесь не включится в моменте, и в моменте возможно, что будут сложности, и уже будут решаться эти вопросы впоследствии.
4199369	4208119	Здесь я с Анной согласна, вот когда приезжает телевидение, когда приезжает уже команда по указанию Бастрыкина, тогда это начинает хоть как-то работать.
4208099	4227475	Вот здесь согласна, поэтому я вижу так, что если мы сейчас вот пишем, кстати, обратите внимание, на любую аферту есть четко определенные сроки, как на нее отреагировать, да, это 30 дней с момента ее публикации мы должны отреагировать, и пропуск срока подразумевает под собой некое конклюдентное согласие на данную аферту.
4227455	4230058	Вот тут надо тоже еще не пропустить эти все сроки.
4230078	4237905	И у нас потом, если не происходит никакой реакции, у нас, соответственно, есть с вами 30-дневный срок на то, чтобы нам обратиться в суд с иском определенным.
4237925	4238566	Что я вижу?
4238646	4254542	Я вижу, что в данной ситуации, вот мое мнение по нашей сегодняшней беседе, у Анны есть четкий план с точки зрения привлечения средств массовой информации, юридические стратегии и тактика примерно у всех одинаковые у нас, и есть план по включению
4255771	4258834	механизм сверху.
4258854	4263059	Это Госдума, это Совет Федерации, это Минстрой и правительство Московской области.
4263099	4266062	Вот я вижу так. Юридический блок, стратегия.
4266102	4271988	Отказываемся от оферты, платим по старому тарифу, ждем ответа.
4272068	4277514	Если ответа не поступает, пишем претензию или поступает тот, который нас не устраивает, и дальше идем в суды.
4277534	4279816	Параллельно подключаем все механизмы сверху.
4279856	4282078	И рассматриваем вопрос, изучаем документы.
4282439	4285542	В этот период времени имеется ли у нас...
4285522	4293274	и основания для того, чтобы в итоге все-таки оспорить право частной собственности на стратегические объекты общего пользования.
4293294	4294416	Спасибо.
4294436	4294956	Спасибо большое.
4294997	4301206	Светлана Сергеевна, если по делу и очень кратенько.
4301266	4304972	Руку поднял и молчит.
4304992	4308758	Ну, хорошо.
4308898	4313605	Если не на что больше ответить по вопросам у юристов,
4315154	4331756	Большая просьба подготовить нам некий свод нашего всего собрания с ценовой политикой ваших услуг, для того, чтобы мы могли консолидированно принять решение, с кем мы идем дальше по этому непростому пути.
4331796	4332537	Да, Сергей?
4332597	4337163	Алло, у меня связи не было.
4337183	4338104	Это Сергей.
4339886	4340107	Ага.
4340127	4341528	Слышите меня, да?
4341588	4344052	Слышно, Сергей, слышно.
4344172	4345093	Да, да, да.
4345310	4362694	Все предыдущие ораторы сказали все правильно, все грамотно, но мне кажется, нужно начинать сверху, а конечным результатом должно быть создание независимого СНТ, ТСН, как угодно можно назвать.
4362674	4366439	Иначе мы не придем к нужному результату.
4366539	4383500	Как бы мы ни боролись с сегодняшней ситуацией, если даже мы выиграем или не проиграем, то все равно нужно создавать ТСН, СНТ, где должно быть как минимум 7 учредителей, основателей, и от этого уже будем плясать.
4383520	4387885	И ни от кого никогда вы не будете больше зависеть.
4387945	4389627	Спасибо большое, Сергей.
4390754	4418608	Уважаемые юристы, мы будем ждать от вас обратной связи, такой мини-план действий, который уже, я надеюсь, всем понятен, и, естественно, финансовую составляющую для того, чтобы мы понимали и определились, с кем мы идем дальше, тем более, как получается, у нас времени не так много, потому что как минимум неделя уже прошла с момента, как они эту оферту выставили.
4418628	4419529	Да, Светлана?
4420673	4436516	Елена, вот я сейчас в чате увидела такую фразу о том, что кто-то написал, что мы скидывались по миллиону на создание инфраструктуры или на благоустройство, на развитие поселка.
4436556	4438058	Это действительно было так?
4438118	4438799	Да, конечно.
4438819	4448233	Вся инфраструктура построена на наши деньги, вплоть до водоразмерного узла, который сейчас опять же принадлежит все тому же физическому лицу теперь уже.
4448652	4454363	И у вас это прям юридически закреплено в каком-то соглашении, либо в договоре купли-продажи?
4454403	4456608	В договоре.
4456628	4461117	Прекрасно, прекрасно.
4461137	4466948	Ну, у нас шансы увеличиваются все-таки поспорить с его правом частной собственности на все это.
4467569	4488971	Хорошо, всем спасибо большое, очень ждем от вас финализации наших шагов, денег, естественно, финансовой составляющей, и буквально в ближайшее время, я надеюсь, что мы со всеми собственниками примем решение, с кем идем дальше, и с вами свяжемся достаточно оперативно.
4488991	4493376	Спасибо большое, коллеги, всем хорошего вечера.
4493716	4496159	Уважаемые собственники, до свидания.
4496219	4497120	До свидания.
